cmnt,sentiment_scores,Compound,Sentiment,cleaned_comment
My mom has got coronavirus and i am trying to help her fight the corona virus Hopefully she will recover,"{'neg': 0.108, 'neu': 0.667, 'pos': 0.225, 'compound': 0.4215}",0.4215,Positive,eduardodiaz common Diaz dont trust the gringos Remember what they did to your ancestors
Corona virus shows how were all connected,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,lol
It just makes me so happy how you are helping us stay say from corona and at the end of the Ebola and This video everyone cheers and stays healthy and safe,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.9397}",0.9397,Positive,roughcollieshow do we know this will cure it Its a new type of Corona virus
That is so sad that in my land deosn t respect the rules,"{'neg': 0.234, 'neu': 0.585, 'pos': 0.181, 'compound': -0.2243}",-0.2243,Negative,roughcollies although you do sound reliable I have to know for facts its has medical purpose Your natural tonic intrigues me send me a link if you have anything to educate us
At its gonna end soon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,You got panic
In  im on my school i got covid and im alive and i just drink water,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}",0.3818,Positive,Yeeeeesssiaiaauauaiaiaiiaiaia
Beautiful and satisfying video,"{'neg': 0.0, 'neu': 0.225, 'pos': 0.775, 'compound': 0.7845}",0.7845,Positive,No
thanks,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,Positive,Its just a new virus its new to the body but the immune system is responsible no matter what age
"Esta aldea a pasado por el dano de el Colera  Ebola y ahora con el de el Coronavirus  

F","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,It can kill you Theres only a mortality rate though so dont worry
Me and my family also got coronavirus we were all contagious and no one helped us except our nearest Docter,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.5574}",-0.5574,Negative,senser Yes it can lmfao
Thank you very much,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,Positive,Any useful links to facts of this enlighten information
Now its the time to battle our enemy the coronavirus,"{'neg': 0.433, 'neu': 0.567, 'pos': 0.0, 'compound': -0.7269}",-0.7269,Negative,Iron milk not all of them but some love moisture
Very useful and good video,"{'neg': 0.0, 'neu': 0.321, 'pos': 0.679, 'compound': 0.7474}",0.7474,Positive,Who established the set of animals that are okay to be eaten
My mom and my big sister have coronavirus in Feb  ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Trump says it will be gone by April He is a liar and a fool though
My Grandma and grandpa had COVID and recovered but my cousin has COVID ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Considering that its a type of flu colderroom temperatures are probably best
True,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,Positive,Who The Chinese the russians or our own government aliens or just diseases trying to kill us
I remember watching the cholera and ebola one a few years ago and now the Coronavirus is here so now we are in the moments of the videos,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Nobody knows If it is just like flu then your body will recognise it next time and know how to fight it Unlike influenza this thing may be able to mutate which is a little concerning
This is relatable to what happened to me and my fam,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,It looks like a smile it isnt It is the natural configuration of her features
The kid in the ending be lit doing a hand stand ,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}",0.4939,Positive,eiendiaies yourufo exactly its caused by weak immune system
The only mother in the world who has survived various deadly diseases,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}",0.5106,Positive,Do you still have the same opinion of the virus a month later Just curious not trying to be rude in any way
My mother has been infected with the corona virus since  months ago but thank GodGod still loves her ,"{'neg': 0.083, 'neu': 0.591, 'pos': 0.327, 'compound': 0.802}",0.802,Positive,That might be true if only the US economy was being affected But the response by markets is world wide and is being fueled by the stock markets themselves There is no unified anti Trump movement of shareholders
"Ebola  Purple
Cholera  Yellow
Coronavirus  Orange","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,renzo Fear spreads like wildfire and trump haters are only one interest group that could have an interest in taking advantage of this situation Im speculating here and I dont want anyone to think I have some secret info they dont Based on what Ive seen so far Im not convinced that this Coronavirus is some mass plague but rather that it is just a new way for common viruses to spread If China isnt telling the entire truth about the Virus and its spread then this could be a way for China to harm their neighbors economies by spreading fear Look at Indias markets and consider my speculation
I love how all of these are black and white in the beginning when everything starts going wrong and then slowly turns colored when everything is getting better,"{'neg': 0.091, 'neu': 0.702, 'pos': 0.208, 'compound': 0.6124}",0.6124,Positive,davidjellofox If there is a global depression no one wins
ey look i kinda dont wanna  spoil the future but corona wont go,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,renzo Except for those who have enough money and influence to control the teaming masses And Im suggesting that China isnt being entirely honest about Corona to effect their competition markets Maybe Im wrong but this is what it looks like at the moment to me
I is damn good teacher  should teach like this in my opinion it is future teaching method,"{'neg': 0.128, 'neu': 0.616, 'pos': 0.256, 'compound': 0.4019}",0.4019,Positive,ahhahaha
"One day another video will be post again from this channel and I will be watching again from choleraebola corona and the next
If I dont and couldnt have the chance let it be reminder to my younger generation that you should always protect yourself from all sorts of disease
Yours faithfully
Thangminlen Haokip","{'neg': 0.031, 'neu': 0.873, 'pos': 0.096, 'compound': 0.5661}",0.5661,Positive,Ur an idiot
If the community will listen  corona virus will end now  but they didnt listen my god,"{'neg': 0.129, 'neu': 0.871, 'pos': 0.0, 'compound': -0.3007}",-0.3007,Negative,What about your fellow men outside china its been said more reports of this disease are outside than in China
My grandmother have lot of other health problems and she is positive but no hospital allow her so we help her at home luckily we hired a nurse and she was fully ok,"{'neg': 0.101, 'neu': 0.544, 'pos': 0.355, 'compound': 0.9128}",0.9128,Positive,The video is a week old Much has happened since then
Mi mama y mi papa y mi hermana y yo nos dio positivo en covid mis otras hermanas se tuvieron q ir a una residencia sanitaria ya que nos ibamos a contagiar todos si nos quedabamos en casa todos juntos yo me puse demasiado triste y extranaba a mis hermanas volvieron un mes despues,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,China didnt let the coronavirus loose Every so often a microbe jumps the species barrier from other animals to humans It could happen in America too Bird flu is very common among chickens here
Hello I would like to translate this video into Lao How would I contact for permission,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}",0.3612,Positive,The Rolls Royce Trent Thats idiotic
stop covid,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,Crown Virus
Awesome,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,Positive,The Rolls Royce Trent 
Thank God were all here Alive Well Amen,"{'neg': 0.0, 'neu': 0.301, 'pos': 0.699, 'compound': 0.8074}",0.8074,Positive,Thats pretty much what I got out of it
I remember that my mom was sick so we decided to stay away from my momexcept for my dad since he is the one taking care of my mom days later my mom was feeling better but my dad isnt so my mom take care of him and then they decided that they should stay at the hospital with my grandma since she is really sickdays later I vc my mom at  am she said that my grandma is fine go back to sleep but then when its  pm my uncle told my aunt and cousins to light a candle we are praying for my grandma because she died and weeks later my dad luckily didnt die now he is still on the house quarantine for  week,"{'neg': 0.049, 'neu': 0.787, 'pos': 0.164, 'compound': 0.94}",0.94,Positive,Did you hear what she said This is a whole new disease They have no clue They are learning as it goes
Very useful video Thank you soo much,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.7146}",0.7146,Positive,They dont know much as its a newish virus
Why no mention of the importance of immunization  Vaccination helps us not spread the virus to the most vulnerable among us  infants the elderly and immunocompromised persons,"{'neg': 0.135, 'neu': 0.708, 'pos': 0.157, 'compound': 0.1796}",0.1796,Positive,Lol india has one best medical systems in the world its less than likely it will spread easily in India Bc they have good CDC
Before I watch this video iam not afraid of the covid virus but now my reaction after watching this video ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,F
Stay safe all,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,Positive,Alfredo Lopez tell him to be carful
My dad was about to die for corona virus he was also patient of cancer Alhamdulilla finally Allah saved him Doctor said he will live only for  hours but at final he slowly become well Sorry for bad English,"{'neg': 0.232, 'neu': 0.675, 'pos': 0.093, 'compound': -0.7783}",-0.7783,Negative,Bro i live in Louisiana and the CoronaVirus just hit texas Im scared
Very informative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Hype im so sick dude so im scared oop me and my degree fever corona tingz
Pity about the idiots that didnt care and helped spread it,"{'neg': 0.349, 'neu': 0.651, 'pos': 0.0, 'compound': -0.5897}",-0.5897,Negative,hello news hey
Анимация офигенная и позновательгая даже если не знаешь язык то ты можешь понять про что тут говориться,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,That we thanks to doctors did not treat them well by having unnecessary antibiotics so our bodies are antibiotics resistant now
You so good Guys need watching this,"{'neg': 0.0, 'neu': 0.653, 'pos': 0.347, 'compound': 0.4927}",0.4927,Positive,The skin is the best defence mechanism of the body Haha not the body if bodies didnt exist then no one would get it
Please someone show this to my school,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}",0.3182,Positive,Which requires probiotics and vitamin D
Please make videos in hindi or urdu,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}",0.3182,Positive,oh great now its infected YouTube
Watching this as i have covid,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,potassium 
i wish the next  centure will see this to alert thereself ,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.5994}",0.5994,Positive,OH SNAP THE CORONA VIRUS IS HERE
Nice expalnation awesome ,"{'neg': 0.0, 'neu': 0.127, 'pos': 0.873, 'compound': 0.7845}",0.7845,Positive,No you dont but you may have some Corona beer in your refrigerator if you do dont forget to invite me please
What a beautiful video it made me think too much and also gave me a lot of necessary information,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.5994}",0.5994,Positive,No its catastrophic its getting rampant at a shocking rate in Iran and there are huge casualties including deaths of hundreds of people in which the government is hiding the numbers I assure you coronavirus is serious not because its deadly but because it spreads rapidly people should be cautious about it Irans situation is really awful I believe the death numbers that our government says is a huge lie
I watched the cholera and the ebola one I never have imagined id expirience something like that ,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",0.3612,Positive,Asish Ghosh bats
Hy guys Im risa Im just  yr old and Im here to share something about my life experience that I  still remember when my family members were corona positive including me and we suffers alotthat  I lost my grandma and my father without seeing him and saying him a goodbye also and hell its very hurtful one of the memorableheartbroken experience in my life n I hope you guys will always be safe follow the instructions properly to stay safe from corona ,"{'neg': 0.142, 'neu': 0.707, 'pos': 0.151, 'compound': -0.0498}",-0.0498,Neutral,Dont forget dogs and cats I dont understand why they eat them in china
im so sad about it,"{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.5256}",-0.5256,Negative,Norm D no
"Most effective and useful video for all generationsits a proper way to clarify about virus to feature
 I like that boy is doing hand walking ","{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.9053}",0.9053,Positive,fuzzymp 
i will tell my perrents that thank you,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}",0.3612,Positive,Norm D were all gonna die 
You are right,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Fuzzy VNM bruh is that a joke Just wondering
My  cousincousins maid and my Grandmother had positive for COVID we were all so sad when we heard thisi hope they will soon get better by gods help and by the DOCTORS AND NURSES HELPwe NEED to trust the DOCTORS AND NURSES GUYS,"{'neg': 0.071, 'neu': 0.656, 'pos': 0.273, 'compound': 0.8862}",0.8862,Positive,TC Fan were all gonna die is not a joke lol
This video has very important message,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.2716}",0.2716,Positive,fuzzymp think positive eat a lots of orange artichoke steamed broccoli walnuts and stay away from crowds Store some dried fruits nuts olive oils beans quality waters months of supply or more Eliminate physical contacts with others as much Store some cleaning products that are not from China Buy made in USA PRODUCTS A LOT AND STORE BEFORE the virus spreads around more Buy a home defense and self defense products Watch your mail person if sneezing or coughing Write your congressman to stop imported products from China Dont eat products came from China for a while Soy sauce hot sauce rice anything came from China Including clothing We dont know if anything is safe from China Tell your Congressman to stop air traffic to China Buy masks and wear them Buy local products love and support your Country Be safe May GOD bless you and protect you 
i love this video,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,Positive,Norm D the thing is the virus is in Canada and if its in Canada my airport is the one used if u want to go anywhere from Toronto to Hawaii So people in my city definitely have it
God bless you thx,"{'neg': 0.0, 'neu': 0.119, 'pos': 0.881, 'compound': 0.7506}",0.7506,Positive,Bella Bella bruh stop panicking families would be split apart poeple will be separated from their work places when on vacation
i believe this video will be legend  Together We can Strong,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.5106}",0.5106,Positive,as a microbiology student m feeling worst as i can not do anything for this
This is very good way to get understand kids and peoples my little brother had watched the cholera video from that day he is aware thank you you are supporting whole india thank you a lot,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.8777}",0.8777,Positive,Pray to Allah then apply for both Somethings you cant control bruh Good luck
We can halt this pandemic sooner but there are two parts that hinder us  The awareness of human  The economy is compulsorily continue if stop the global economy the world may exhaust and occur the crisis,"{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.9052}",-0.9052,Negative,Salvador Hirth ew
Me encanta por que explica todo demasiado bien y en poco tiempo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Peaceful
The way the artist represents the virus transmission with the colours is very effective in showing visually how the virus works Well done,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.6697}",0.6697,Positive,Weird people
They need to show this in schools,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Simp
The best video about coronavirus that I have watched you presented that even better than in news and my teachers and think all the people that take this serious,"{'neg': 0.041, 'neu': 0.747, 'pos': 0.212, 'compound': 0.7734}",0.7734,Positive,U got a crush
Stay safe,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,Positive,uono No I just find her voice very pleasant
"I had corona too
And I just remembered what you told 
Thank you","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",0.3612,Positive,What is Corona virus
Finnaly wanted video realised,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
Memy mom and dad also had symptoms of covid We took care of ourselves by staying at home drinking hot water and wearing mask We are healthy and vaccinated now,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.7096}",0.7096,Positive,
"VERY GOOD
HOPE EVERYONE IS AWARE OF IT","{'neg': 0.0, 'neu': 0.485, 'pos': 0.515, 'compound': 0.7485}",0.7485,Positive,
Was always waiting for this,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
I just got fully vaccinated Hopefully I can help to stop this virus Stay safe everyone,"{'neg': 0.106, 'neu': 0.481, 'pos': 0.413, 'compound': 0.749}",0.749,Positive,
Now I understand to wear a mask,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
i actually just started drawing animations and this inspired me so much thank you for making this AND helping people know what corona can do and how to stop it,"{'neg': 0.061, 'neu': 0.696, 'pos': 0.243, 'compound': 0.76}",0.76,Positive,
Прикольно,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
I remember when I got a positive Covid Now I got vaccinated,"{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.5574}",0.5574,Positive,
I got covid,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
I got to know about Corona so deeply from your video only  So thankyoun so so much,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
i like how the animation made it look even more dangerous like how light it is just by a slight movement the virus moved,"{'neg': 0.124, 'neu': 0.694, 'pos': 0.183, 'compound': 0.1548}",0.1548,Positive,
Semoga negara Indonesia cepat sembuh dari coranavirusaminn,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
wow,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",0.5859,Positive,
This video is very informative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
Watched this from the covid health center ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
Excellent video thank you for sharing,"{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.8402}",0.8402,Positive,
Guaranteed this is going to be the video shown in school in the future,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
Thanks for making such a great story for me to use it in the future to explain what exactly coronavirus is ,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.7906}",0.7906,Positive,
If we could just listen to the proticals covid will be gone sooner Wear our masks wash out hands social distance this will be gone sooner than we think,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
My mom died because of it She had debities and thyroid and she died because of me  Because my doctor said I have viral only we did everything we can every precautions we could take every single one but why I hate myself Tell me can I sue the doctor he even told us that oxygen  is okay I miss you mom and I always miss you my brother is soo small I am really sorry for him it all happened because of me I want to reverse  the time plz be greatfull to your parents and never say mean things to them your mind will eat you if any thing happens to you I fell into a severe depression but I didnt told anyone and act normal soo that my dad and bro dont feel bad ,"{'neg': 0.161, 'neu': 0.778, 'pos': 0.061, 'compound': -0.9409}",-0.9409,Negative,
I wish everyone in the world would treat Corona like the family in this video if they did Corona mightve ended sooner But I do pray for those who are no longer with us and pray for this pandemic to be over with and everybody to be safe and healthy again,"{'neg': 0.045, 'neu': 0.655, 'pos': 0.3, 'compound': 0.9319}",0.9319,Positive,
Very instructive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
I love how they do this They made one for ebola,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",0.6369,Positive,
I remember the Ebola video that was made during the Ebola break out now Im watching a video about covid ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
If this doesnt end up in the history book Im coming back to eat some bats,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
Isnt it weird that some people havent gotten the virus at all without keeping safe,"{'neg': 0.142, 'neu': 0.768, 'pos': 0.09, 'compound': -0.2235}",-0.2235,Negative,
I was infected when I had an elbow fracture  I could get operated by no doctor on time since I could have passed on the virus Oh man those were the most difficult days of my life But I followed a tight plan rule of home Quarantine and recovered without developing any hard or severe symptom Now I am safe and also vaccinated,"{'neg': 0.14, 'neu': 0.778, 'pos': 0.082, 'compound': -0.4024}",-0.4024,Negative,
Share this video and let all the people know,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}",0.296,Positive,
"The fact that I used to watch the ebola and cholera animations wondering what it would have been like
Little did I know","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.3612,Positive,
We did the same thing when my mother and father were positive to corona,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.5574}",0.5574,Positive,
The virus went trough my whole familyMy dadmombrother and me got infected and because of the slow infection of every single one of us we had to stay at home for  weeksI was sad because I couldnt see my friends in school but we all made it through and are now healthy again,"{'neg': 0.103, 'neu': 0.835, 'pos': 0.062, 'compound': -0.0969}",-0.0969,Negative,
wow i remember watching ebola videos of this and now its corona damn,"{'neg': 0.164, 'neu': 0.606, 'pos': 0.23, 'compound': 0.2732}",0.2732,Positive,
To think that we are living through one of these kinds of stories that will be in history books like ebola and the Black Plague To think that we are right NOW living through something that kids in a decade or so will be learning in school Something we can tell out grandchildren I lived through that and survived and for those of us who have lost people close to us Say first hand how terrible the experience was to those future kids who will never know how bad it was I am a history nerd but I honestly never expected in my life to be a person that could relate to those who were in the history books that suffered with Ebola and Spanish flu Rather than just reading about people going through it I am now someone who has actually BEEN through and experienced similar event And its terrifying as hell but also ground breaking,"{'neg': 0.14, 'neu': 0.791, 'pos': 0.068, 'compound': -0.9385}",-0.9385,Negative,
i cant believe we live in a timeline where we watch this and we all been here,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
Is this voice from the person who actually lives in that place,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
"Great Information and animation hope you all are doing well

Bless you","{'neg': 0.0, 'neu': 0.402, 'pos': 0.598, 'compound': 0.8979}",0.8979,Positive,
"Everybody should watch it and learn from this its just a  minute video but explains everything unlike those  minutes blabbering news channels this is very informative i remember sharing it to everybody I know although now its again becoming normal to some dorks out here they arent following any protocols as if there wasnt anything everything is being back to normal but its not gone yet but peoples are not understanding that its still here it didnt disappeared at least not yet but soon it will if we continue doing what we were doing at the beginning I guess its time to share this masterpiece to everyone again 
Be safe everybody take care of yourselves and your families be healthy and dont forget to wear mask while going out keep washing your hands and make sure to maintain the distance And then sit back chilling watch corona disappear woohoo we all can do it together yall Sending love and prayers to everyone reading this have a good day every day ","{'neg': 0.026, 'neu': 0.744, 'pos': 0.23, 'compound': 0.9928}",0.9928,Positive,
are kids in the future may watch this for educational purposes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
Legends waiting to show this video to their grandchildren,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
Please keep making this kind of animation its so satisfying to watch,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.7324}",0.7324,Positive,
Superb video ,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,Positive,
Wait is this the same animator of the ebola sickness thing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
This is very inspirational,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5563}",0.5563,Positive,
Bruh I lived through this,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
Dealing with the virus at the moment got a cough and a fever Ill update soon ,"{'neg': 0.177, 'neu': 0.823, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative,
Future people gonna watch this and say damn,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative,
staysafe,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
Wowthis is informative Thanks for uploading content like this,"{'neg': 0.0, 'neu': 0.565, 'pos': 0.435, 'compound': 0.6597}",0.6597,Positive,
People in the future probably wont  believe that many people now refused to wear masks take the vaccine and didnt believe in the virus which is crazy to think about,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.5574}",-0.5574,Negative,
Saw this channel because of the ebola video some years ago its so informative and useful Too those making these videos yall are awesome,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.8055}",0.8055,Positive,
Right now in Malaysia Selangor has the most cases and i think it also has the most deaths i keep thinking before i sleep  why do people do not understand Even though more than a thousand cases you guys dont even know how dangerous it is In my mind i dont know when this is gonna end but im still healthy and no symtopms  and now i appreciate your help and incouraging us on taking good care of us and others thank you so much,"{'neg': 0.05, 'neu': 0.725, 'pos': 0.225, 'compound': 0.9595}",0.9595,Positive,
"My father used to be a corona denier but when relative after relative started getting infected he finally realized its real

A colleague of mine as well used to be a corona denier but then he got the virus and got very sick he needs to be hospitalised After that he never again took covid lightly

I hope more people would not take this virus lightly Dont wait for your loved one or you to be infected to believe its real Ive had many colleagues and relatives who got infected one colleague died Its not a joke or a stunt WHOpharmaceutical companies made for money And even if they really did its already too late and the only thing we can do now is to survive","{'neg': 0.199, 'neu': 0.722, 'pos': 0.079, 'compound': -0.9594}",-0.9594,Negative,
this is beautiful,"{'neg': 0.0, 'neu': 0.339, 'pos': 0.661, 'compound': 0.5994}",0.5994,Positive,
Find it hard to believe that there are still some people who think this virus is not real these are the people perpetuating it,"{'neg': 0.057, 'neu': 0.943, 'pos': 0.0, 'compound': -0.1027}",-0.1027,Negative,
I love this animation Good job and keep save everyone,"{'neg': 0.0, 'neu': 0.368, 'pos': 0.632, 'compound': 0.8834}",0.8834,Positive,
Be safe allways every body,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,
Man I tested positive for COVID  days ago it sucks but at least my body will know how to fight it off and I will be able to recover from it,"{'neg': 0.154, 'neu': 0.777, 'pos': 0.069, 'compound': -0.431}",-0.431,Negative,
great educational video of Covid this video should be showed to students of all ages,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.6249}",0.6249,Positive,
My whole family was sick including me but my grandfather got the most He was in the hospital for several months now he is fine,"{'neg': 0.079, 'neu': 0.841, 'pos': 0.08, 'compound': 0.0129}",0.0129,Neutral,
How many are here that corona is positive and watching this video,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.5574}",0.5574,Positive,
Me and my whole family with covid welp to late now,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
No thuc su rat hay,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,
"I have this now i cant taste or smell anything im in quarantine its my  days now sadly im still sick
Keep safe guys always wear a mask ","{'neg': 0.197, 'neu': 0.71, 'pos': 0.094, 'compound': -0.4939}",-0.4939,Negative,
My great great uncle died from coronavirus   My great grandma died from coronavirus   My dearest neighbor died from coronavirus we brought our neighbor dinner almost every day until he died even before coronavirus After he died we all got tested and corentined and because of that we missed his services he was a hero in the military and he told no one he he was a medic ran into the battlefield in the korean war and saved a mans life with no weapon or anything He was a hero we will all remember you sarge,"{'neg': 0.252, 'neu': 0.552, 'pos': 0.196, 'compound': -0.6597}",-0.6597,Negative,
Watching this after recovering from covid hits different,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,
D Good Content,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,Positive,
Does anyone still have messed up smell and tastebuds after being  months COVID free or is it just me,"{'neg': 0.106, 'neu': 0.749, 'pos': 0.145, 'compound': 0.2263}",0.2263,Positive,
Very valuable information Now following everyone,"{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.5256}",0.5256,Positive,
